baseline,lang,lt,rar,le,seed,em_f1,precision,recall,tp,fp,fn,n_docs
encoder_crf,zh,5,1.0,5,42,0.5109,0.5117,0.5100,306,292,294,200
encoder_crf,zh,5,1.0,0,42,0.5264,0.5251,0.5277,324,293,290,200
encoder_crf,zh,1,1.0,1,123,0.6570,0.6517,0.6623,406,217,207,200
encoder_crf,zh,1,1.0,0,123,0.6580,0.6533,0.6629,407,216,207,200
encoder_crf,en,0,0.0,0,42,0.2276,0.2159,0.2406,166,603,524,200
encoder_crf,en,0,0.2,0,42,0.3341,0.2902,0.3938,280,685,431,200
encoder_crf,en,0,0.4,0,42,0.3881,0.3373,0.4568,338,664,402,200
encoder_crf,en,0,0.6,0,42,0.3965,0.3399,0.4756,361,701,398,200
encoder_crf,en,0,0.8,0,42,0.4465,0.3839,0.5334,415,666,363,200
encoder_crf,en,0,1.0,0,42,0.4939,0.4318,0.5769,465,612,341,200
encoder_crf,en,1,0.0,1,42,0.2623,0.2321,0.3014,208,688,482,200
encoder_crf,en,1,0.0,0,42,0.3314,0.3118,0.3536,285,629,521,200
encoder_crf,en,1,0.2,1,42,0.2064,0.2047,0.2082,148,575,563,200
encoder_crf,en,1,0.2,0,42,0.2400,0.2545,0.2270,183,536,623,200
encoder_crf,en,1,0.4,1,42,0.3498,0.3068,0.4068,301,680,439,200
encoder_crf,en,1,0.4,0,42,0.3964,0.3588,0.4429,357,638,449,200
encoder_crf,en,1,0.6,1,42,0.3771,0.3263,0.4466,339,700,420,200
encoder_crf,en,1,0.6,0,42,0.4339,0.3840,0.4988,402,645,404,200
encoder_crf,en,1,0.8,1,42,0.4212,0.3667,0.4949,385,665,393,200
encoder_crf,en,1,0.8,0,42,0.4573,0.4030,0.5285,426,631,380,200
encoder_crf,en,1,1.0,1,42,0.4773,0.4196,0.5533,446,617,360,200
encoder_crf,en,1,1.0,0,42,0.4952,0.4311,0.5819,469,619,337,200
